ticker,change_pct
COHR,-0.86
EME,-0.87
AC.PA,-0.88
AMGN,-0.89
WAT,-0.91
FTNT,-0.93
DDOG,-0.98
REGN,-1.0
CIEN,-1.0
ABT,-1.01
PRX.AS,-1.07
AIR.PA,-1.08
LR.PA,-1.17
BAYN.DE,-1.21
EL.PA,-1.28
FSLR,-1.28
BA,-1.29
TROW,-1.32
QCOM,-1.33
AKAM,-1.33
FLEX,-1.34
GEV,-1.35
UAL,-1.38
SMCI,-1.38
Q,-1.39
GILD,-1.39
VRTX,-1.4
DELL,-1.42
LITE,-1.43
PWR,-1.44
SAF.PA,-1.55
MTX.DE,-1.57
JBL,-1.57
LLY,-1.65
ORCL,-1.66
FIX,-1.68
ADI,-1.69
FRE.DE,-1.76
HPE,-1.79
GNRC,-1.81
CSCO,-1.83
NEM,-1.83
ECHO,-1.84
INCY,-1.91
STMPA.PA,-2.03
TPR,-2.07
ASML.AS,-2.07
ASM.AS,-2.09
NTAP,-2.19
AVGO,-2.19
CRWD,-2.2
WMB,-2.39
PANW,-2.47
VRT,-2.49
NXPI,-2.74
TSLA,-2.85
BESI.AS,-2.86
TXN,-2.9
RMD,-3.07
IFX.DE,-3.37
GLW,-3.44
MCHP,-3.5
TDG,-3.51
MRNA,-3.54
MPWR,-3.62
AMAT,-3.63
AMD,-3.79
ON,-3.93
TER,-4.25
INTC,-4.39
KLAC,-4.51
APP,-4.61
LRCX,-5.37
STX,-6.04
MRVL,-6.38
MU,-6.4
WDC,-7.5
SNDK,-9.25
