Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2088707180694323466,"Sat, Aug 15, 2026",@dmeinvestor Agreed ✅ both broke out of the decending trend line.. I have added $USAS as a proxy after good Q2 earnings,https://x.com/HestysInvest/status/2088707180694323466,44,1,3,0,0,0,1,0,0,1,0,0,0
2088652613742940282,"Sat, Aug 15, 2026",@dmeinvestor yes! and plenty of stocks to choose from 👌 anything in particular your interested in?,https://x.com/HestysInvest/status/2088652613742940282,34,1,4,0,0,0,1,0,2,0,0,0,0
2088514913140417004,"Sat, Aug 15, 2026","$WDAY topped this week’s 🚀Rocket List for a reason: it jumped nearly 18% on Thursday (also that day’s top gainer on Today) on reports that Silver Lake is exploring a $43B buyout, the stock’s biggest single-day move since 2016. Trading was even halted for volatility. Talks are https://t.co/1KhXkIscH6",https://x.com/HestysInvest/status/2088514913140417004,90,0,4,0,0,0,0,0,1,2,1,0,0
2088268672129270250,"Fri, Aug 14, 2026",$USAS $USA.TO 665K oz ✅ $67 realized ✅ Guidance on track ✅ Decending trendline break + 🪙silver strength = this is starting to work. Still early 🔥,https://x.com/HestysInvest/status/2088268672129270250,192,0,0,0,0,0,0,0,0,0,0,0,0
2088249328334754199,"Fri, Aug 14, 2026","@utopia_escape The technical weakness lines up with a rough last quarter, they missed EPS by about 67% and revenue slightly too. Priced-in-silver is an interesting lens though, since the operational side is actually improving: record Q2 silver production and a realized price around $67/oz.",https://x.com/HestysInvest/status/2088249328334754199,52,1,8,0,0,0,1,0,1,5,0,0,0
2088218082372174250,"Fri, Aug 14, 2026",@fundmyfund Seems like its because some orange man announced tariffs of up to 100% on imports of unmanned drones and their components to reduce US reliance on China,https://x.com/HestysInvest/status/2088218082372174250,29,0,0,0,0,0,0,0,0,0,0,0,0
2088163354850234526,"Fri, Aug 14, 2026","Live example of the pattern above: $TER showed up on both the daily screener and the earnings surprises list. +20-21% surprise on July 28, and the stock's still climbing three weeks later, up another 12.8% this week on a new $1B credit facility.",https://x.com/HestysInvest/status/2088163354850234526,121,0,3,0,0,0,0,0,0,3,0,0,0
2088161050696745230,"Fri, Aug 14, 2026","@delangetermijn Ik ben het eens met jullie dat een earnings beat of miss weinig signaal geeft, echter een significante beat of miss is historisch gezien wel een interessant signaal. Verschillende studies laten zien een aandeel in de weken/maanden na een significante beat of miss het aandeel",https://x.com/HestysInvest/status/2088161050696745230,8,0,3,0,0,0,0,0,0,3,0,0,0
2088158523125338166,"Fri, Aug 14, 2026","Is post-earnings drift still real? 📊 Markets don't fully reprice a stock the moment earnings drop. There's a documented pattern where prices keep drifting in the direction of the surprise for weeks after, and it's been studied since 1968. It's called PEAD, https://t.co/pQzuGWU2EQ",https://x.com/HestysInvest/status/2088158523125338166,163,0,15,0,0,0,1,0,0,10,0,0,0
2087999031423258728,"Thu, Aug 13, 2026","@dmeinvestor I also thought earnings would be today.. if you find some info, let us know 👍",https://x.com/HestysInvest/status/2087999031423258728,39,1,3,0,0,0,1,0,1,0,0,0,0
