Datum,Tijd,Product,ISIN,Beurs,Uitvoeringsplaats,Aantal,Koers,,Lokale waarde,,Waarde EUR,Wisselkoers,AutoFX Kosten,Transactiekosten en/of kosten van derden EUR,Totaal EUR,Order ID,
24-04-2026,12:33,VANECK MS DEVELOPED MARKETS DIV LEAD UCITS ETF,NL0011683594,EAM,XAMS,4,"52,4100",EUR,"-209,64",EUR,"-209,64",,"0,00","-3,00","-212,64",2667287c-cf69-4268-93f6-f15b42038a46
22-04-2026,16:11,SOLANA,,TRD,TRDS,,"76,1140",EUR,"-250,26",EUR,"-250,26",,"0,00","-0,73","-250,99",ce7fc350-bd3f-40ba-9910-d9b0a009c79a
15-04-2026,15:53,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,XNAS,10,"21,6000",USD,"-216,00",USD,"-183,28","1,1785","-0,46","-2,00","-185,74",d585fdd6-478b-4229-a601-ae34feb34609
31-03-2026,09:08,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,LSE,XLON,8,"63,5000",USD,"-508,00",USD,"-442,82","1,1472","-1,11","-3,00","-446,93",9fe28eb7-cae0-4d8b-a127-bdee74d104c2
30-03-2026,20:50,TESLA INC,US88160R1014,NDQ,XNAS,2,"355,0000",USD,"-710,00",USD,"-619,28","1,1465","-1,55","-2,00","-622,83",edbaf558-8753-4c50-9eb8-7f282bb9c073
24-03-2026,13:43,VANECK MS DEVELOPED MARKETS DIV LEAD UCITS ETF,NL0011683594,EAM,XAMS,4,"50,8900",EUR,"-203,56",EUR,"-203,56",,"0,00","-3,00","-206,56",47271bdc-347d-4750-a66b-3e4680896a22
24-03-2026,13:42,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,LSE,HRSI,4,"68,3600",USD,"-273,44",USD,"-236,07","1,1583","-0,59","-3,00","-239,66",a456f4ff-b554-47d6-a664-599a9af8ef52
20-03-2026,14:34,TESLA INC,US88160R1014,NDQ,XNAS,1,"375,0000",USD,"-375,00",USD,"-324,54","1,1555","-0,81","-2,00","-327,35",48841631-921e-4092-ba64-1588c114354a
16-03-2026,15:55,SOLANA,,TRD,TRDS,,"81,2080",EUR,"-217,83",EUR,"-217,83",,"0,00","-0,63","-218,46",b0cd7a43-63c3-4353-9e9b-2f19ad4d5a44
10-03-2026,19:07,FLUENCE ENERGY INC CLASS A,US34379V1035,NDQ,SOHO,20,"16,5150",USD,"-330,30",USD,"-283,76","1,1640","-0,71","-2,00","-286,47",b968e0d2-2f52-4a0e-a17c-2fe8cc43966c
27-02-2026,15:30,DUOLINGO INC CLASS A,US26603R1068,NDQ,XNAS,4,"92,0600",USD,"-368,24",USD,"-312,02","1,1802","-0,78","-2,00","-314,80",579cfe73-775b-4405-8ca3-04f31cd8dfd2
24-02-2026,15:36,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,XNYS,30,"14,1400",USD,"-424,20",USD,"-360,23","1,1776","-0,90","-2,00","-363,13",f0eb36d7-4bbb-43a3-aefd-e6f2b1aa36b2
24-02-2026,11:29,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,LSE,XLON,4,"73,1400",USD,"-292,56",USD,"-248,25","1,1785","-0,62","-3,00","-251,87",c5728853-1410-47b6-87cb-0cef1aee674c
24-02-2026,11:24,VANECK MS DEVELOPED MARKETS DIV LEAD UCITS ETF,NL0011683594,EAM,XAMS,4,"52,4200",EUR,"-209,68",EUR,"-209,68",,"0,00","-3,00","-212,68",f97d84f2-4ee8-467a-bb63-bc7c397cd65c
06-02-2026,15:34,DUOLINGO INC CLASS A,US26603R1068,NDQ,ARCX,2,"119,0000",USD,"-238,00",USD,"-201,37","1,1819","-0,50","-2,00","-203,88",0b511f07-4af6-46f8-b537-9fbd0a04e67b
05-02-2026,14:26,SOLANA,,TRD,,4,"74,9890",EUR,"-299,96",EUR,"-299,96",,"0,00","-0,87","-300,83",fc86dee9-574b-441d-bb47-e011c3728841
04-02-2026,18:50,TESLA INC,US88160R1014,NDQ,XNAS,1,"400,0000",USD,"-400,00",USD,"-339,07","1,1797","-0,85","-2,00","-341,92",0c118d00-230b-4709-bad6-da9c531c94bc
04-02-2026,17:02,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,LSE,XLON,4,"67,5000",USD,"-270,00",USD,"-228,87","1,1797","-0,57","-3,00","-232,45",8a2e299a-23d3-4a70-8d84-3e331643e093
03-02-2026,18:30,HIMS & HERS HEALTH INC CLASS A,US4330001060,NSY,XNYS,20,"25,0000",USD,"-500,00",USD,"-423,09","1,1818","-1,06","-2,00","-426,14",7d05d02c-a4c6-4eae-abd7-a85cdd0e787a
28-01-2026,18:47,TESLA INC,US88160R1014,NDQ,SOHO,1,"433,6696",USD,"-433,67",USD,"-363,42","1,1933","-0,91","-2,00","-366,33",9bbf1c05-0833-4c73-a6b3-89f256b9ea98
23-01-2026,15:37,DUOLINGO INC CLASS A,US26603R1068,NDQ,EDGX,2,"158,7000",USD,"-317,40",USD,"-270,27","1,1744","-0,68","-2,00","-272,94",af5547a6-987e-40e2-b47b-8218960188ec
23-01-2026,15:35,AST SPACEMOBILE INC CLASS A,US00217D1000,NDQ,CDED,-2,"117,2100",USD,"234,42",USD,"199,61","1,1744","-0,50","-2,00","197,11",dbb608a7-756e-46d6-ae3b-778d4d8d4c66
23-01-2026,09:40,VANECK MS DEVELOPED MARKETS DIV LEAD UCITS ETF,NL0011683594,EAM,XAMS,4,"48,9200",EUR,"-195,68",EUR,"-195,68",,"0,00","-3,00","-198,68",9e3eb920-4a48-4871-bf20-d2d8a336558a
23-01-2026,09:39,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,LSE,BATE,3,"70,5700",USD,"-211,71",USD,"-180,35","1,1739","-0,45","-3,00","-183,80",3873cabc-1de3-473b-a6df-2ce7c412275c
16-01-2026,15:59,VANECK SEMICONDUCTOR UCITS ETF USD A,IE00BMC38736,LSE,HRSI,3,"70,3200",USD,"-210,96",USD,"-181,58","1,1618","-0,45","-3,00","-185,04",d2e3ce1e-f0c2-4268-8f44-28fd7c158b27
14-01-2026,15:48,SOLANA,,TRD,TRDS,2,"126,1080",EUR,"-252,22",EUR,"-252,22",,"0,00","-0,73","-252,95",9b7e1ac8-c53a-460d-8753-a3f8d5813911
12-01-2026,16:38,SOLANA,,TRD,TRDS,2,"121,5400",EUR,"-243,08",EUR,"-243,08",,"0,00","-0,70","-243,78",cfca708f-7d89-423b-8229-09e08060b7e5
07-01-2026,16:33,AST SPACEMOBILE INC CLASS A,US00217D1000,NDQ,EDGX,-2,"92,5000",USD,"185,00",USD,"158,26","1,1690","-0,40","-2,00","155,86",c6fbc52e-bf0c-4bf2-a96c-d4f2a608da05
04-01-2026,10:22,SOLANA,,TRD,TRDS,2,"114,7440",EUR,"-229,49",EUR,"-229,49",,"0,00","-0,67","-230,16",a65835a0-cc74-4313-bfad-cd587de3650d
22-12-2025,12:31,VANECK MS DEVELOPED MARKETS DIV LEAD UCITS ETF,NL0011683594,EAM,XAMS,3,"47,5500",EUR,"-142,65",EUR,"-142,65",,"0,00","-3,00","-145,65",43e90910-9a03-4ccf-956a-5e92a2c0aefa
10-12-2025,21:11,SOLANA,,TRD,TRDS,1,"119,7630",EUR,"-119,76",EUR,"-119,76",,"0,00","-0,35","-120,11",5fc60b58-7aea-450a-8575-70791546bfa3
26-11-2025,11:15,SOLANA,,TRD,TRDS,1,"118,6070",EUR,"-118,61",EUR,"-118,61",,"0,00","-0,34","-118,95",9bc0af56-d55e-419f-9f14-9045434c2cde
24-11-2025,12:20,VANECK MS DEVELOPED MARKETS DIV LEAD UCITS ETF,NL0011683594,EAM,XAMS,4,"45,9400",EUR,"-183,76",EUR,"-183,76",,"0,00","-3,00","-186,76",067e7541-7bc1-4086-8ad0-e302d699537d
21-11-2025,15:43,AST SPACEMOBILE INC CLASS A,US00217D1000,NDQ,EDGX,3,"52,5000",USD,"-157,50",USD,"-136,79","1,1514","-0,34","-2,00","-139,13",e6571a07-4470-40da-aaaf-a03dacb104e2
14-11-2025,15:36,AST SPACEMOBILE INC CLASS A,US00217D1000,NDQ,SOHO,6,"60,2000",USD,"-361,20",USD,"-310,50","1,1633","-0,78","-2,00","-313,27",259d323d-4551-460d-8acd-648c63cda511
14-11-2025,15:34,STRATEGY INC CLASS A,US5949724083,NDQ,EDGX,-2,"197,7000",USD,"395,40",USD,"339,84","1,1635","-0,85","-2,00","336,99",61713ee1-acf1-4959-ac83-efbb5428a29f
14-11-2025,15:33,DUOLINGO INC CLASS A,US26603R1068,NDQ,ARCX,2,"187,4700",USD,"-374,94",USD,"-322,25","1,1635","-0,81","-2,00","-325,06",2a06be85-fab3-4293-b878-c899083417d9
14-11-2025,15:32,CLEANSPARK INC,US18452B2097,NDQ,EDGX,-25,"11,0000",USD,"275,00",USD,"236,32","1,1637","-0,59","-2,00","233,73",c626fa1d-52a0-4fa6-ab12-49f0aa5b6cd1
