ticker,flip_date,weken_geleden,voorgaande_trend_weken,prijs_bij_omslag,prijs_nu,sinds_omslag_pct,boven_ema20,benchmark,relatieve_sterkte,volume_bevestigd,roic_pct,roic_trend,earnings_surprise_pct,earnings_beat,earnings_date,weken_sinds_earnings,fair_value,afwijking_fair_value_pct,score
BALL,2026-07-05,1,15,63.39,61.0,-3.77,True,^GSPC,-11.26,False,9.3,stijgend,11.3,True,2026-05-05,9.0,70.86,-13.9,4.82
EA,2026-07-12,0,22,206.56,206.56,0.0,True,^GSPC,-4.42,False,16.0,dalend,-32.4,False,2026-05-05,9.0,205.79,0.4,4.74
AJG,2026-07-05,1,48,252.44,253.76,0.52,True,^GSPC,8.65,False,5.4,dalend,1.0,True,2026-04-30,10.0,268.74,-5.6,4.66
AXP,2026-07-05,1,20,351.96,346.72,-1.49,True,^GSPC,-1.04,False,,onbekend,7.2,True,2026-04-23,11.0,372.22,-6.9,4.66
AIR.PA,2026-06-28,2,20,191.9,196.52,2.41,True,^FCHI,12.69,False,17.1,dalend,-20.6,False,2026-04-28,10.0,211.96,-7.3,4.61
URW.PA,2026-06-28,2,15,103.35,102.45,-0.87,True,^FCHI,1.78,False,3.5,stijgend,,,,,114.83,-10.8,4.59
SYY,2026-07-05,1,13,84.83,82.03,-3.3,True,^GSPC,2.41,False,15.2,dalend,-0.4,False,2026-04-28,10.0,86.93,-5.6,4.59
ECL,2026-06-28,2,15,283.65,273.03,-3.74,True,^GSPC,-6.23,True,12.0,dalend,0.2,True,2026-04-28,10.0,318.9,-14.4,4.49
PHM,2026-06-28,2,15,137.61,123.72,-10.09,False,^GSPC,-7.87,True,16.8,dalend,-1.1,False,2026-04-23,11.0,138.08,-10.4,4.41
PPG,2026-06-28,2,16,123.24,115.96,-5.91,True,^GSPC,-4.24,True,11.9,dalend,3.6,True,2026-04-28,10.0,125.15,-7.3,4.38
DHR,2026-07-05,1,17,197.93,195.98,-0.99,True,^GSPC,-5.02,False,5.2,dalend,6.5,True,2026-04-21,11.0,242.26,-19.1,4.25
HD,2026-07-05,1,15,357.9,338.73,-5.36,True,^GSPC,-8.91,False,20.4,dalend,0.7,True,2026-05-19,7.0,370.34,-8.5,4.21
KHC,2026-07-05,1,34,25.37,24.68,-2.72,True,^GSPC,3.98,False,5.8,dalend,15.4,True,2026-05-06,9.0,23.62,4.5,4.04
RF,2026-06-28,2,15,30.06,30.58,1.73,True,^GSPC,2.85,False,,onbekend,4.4,True,2026-04-17,11.0,31.67,-3.4,4.04
BRO,2026-07-05,1,55,70.0,67.84,-3.09,True,^GSPC,-5.39,False,5.8,dalend,2.3,True,2026-04-27,10.0,72.75,-6.7,3.83
BAX,2026-06-28,2,64,22.04,22.46,1.91,True,^GSPC,14.25,False,1.0,dalend,15.9,True,2026-04-30,10.0,21.71,3.5,3.81
PKG,2026-06-28,2,14,241.55,224.49,-7.06,True,^GSPC,0.04,False,11.2,dalend,12.5,True,2026-04-22,11.0,238.3,-5.8,3.57
DHI,2026-06-28,2,34,166.29,149.55,-10.07,False,^GSPC,-5.73,False,12.2,dalend,5.6,True,2026-04-21,11.0,168.23,-11.1,3.42
ARE,2026-06-28,2,34,54.5,48.51,-11.0,False,^GSPC,-4.8,False,1.5,dalend,1360.0,True,2026-04-27,10.0,51.0,-4.9,2.91
